Fp1	-92	-67.5
AF3	-73.6	-66
F7	-92	-33.75
F3	-64.4	-54
FC1	-36.8	-36
FC5	-73.6	-18
T7	-92	0
C3	-46	0
CP1	-36.8	36
CP5	-73.6	18
P7	-92	33.75
P3	-64.4	54
Pz	46	-90
PO3	-73.6	66
O1	-92	67.5
Oz	92	-90
O2	92	-67.5
PO4	73.6	-66
P4	64.4	-54
P8	92	-33.75
CP6	73.6	-18
CP2	36.8	-36
C4	46	0
T8	92	0
FC6	73.6	18
FC2	36.8	36
F4	64.4	54
F8	92	33.75
AF4	73.6	66
Fp2	92	67.5
Fz	46	90
Cz	0	0
Ol1	-46	45
Ol2	-55.2	45
Ol3	-64.4	42
Ol4	-73.6	42
Ol5	-82.8	45
Ol6	-92	45
Ol7	-101.2	45
Ol8	-110.4	42
Ol9	-46	60
Ol10	-55.2	60
Ol11	-73.6	54
Ol12	-82.8	56.25
Ol13	-92	56.25
Ol14	-101.2	56.25
Ol15	-110.4	54
Ol16	-64.4	66
Ol17	-82.8	67.5
Ol18	-101.2	67.5
Ol19	-110.4	66
Ol20	-119.6	66
Ol21	-46	75
Ol22	-55.2	75
Ol23	-64.4	78
Ol24	-73.6	78
Ol25	-82.8	78.75
Ol26	-92	78.75
Ol27	-101.2	78.75
Ol28	-110.4	78
Ol29	-119.6	78
Oz1	64.4	-90
Oz2	73.6	-90
Oz3	82.8	-90
Or1	46	-45
Or2	55.2	-45
Or3	64.4	-42
Or4	73.6	-42
Or5	82.8	-45
Or6	92	-45
Or7	101.2	-45
Or8	110.4	-42
Or9	46	-60
Or10	55.2	-60
Or11	73.6	-54
Or12	82.8	-56.25
Or13	92	-56.25
Or14	101.2	-56.25
Or15	110.4	-54
Or16	64.4	-66
Or17	82.8	-67.5
Or18	101.2	-67.5
Or19	110.4	-66
Or20	119.6	-66
Or21	46	-75
Or22	55.2	-75
Or23	64.4	-78
Or24	73.6	-78
Or25	82.8	-78.75
Or26	92	-78.75
Or27	101.2	-78.75
Or28	110.4	-78
Or29	119.6	-78
Oz4	101.2	-90
Oz5	110.4	-90
Oz6	119.6	-90
